SPEC,COMMONNAME,SCINAME,SPEC6,Order,Family,Subfamily
GLGU,Glaucous Gull,Larus hyperboreus,LARHYP,Charadriiformes,Laridae,Larinae
GWGU,Glaucous-winged Gull,Larus glaucescens,LARGLS,Charadriiformes,Laridae,Larinae
GLIB,Glossy Ibis,Plegadis falcinellus,PLEFAL,Pelecaniformes,Threskiornithidae,Threskiornithinae
GLTH,Glow-throated Hummingbird,Selasphorus ardens,SELARD,Apodiformes,Trochilidae,Trochilinae
GOEA,Golden Eagle,Aquila chrysaetos,AQUCHR,Accipitriformes,Accipitridae,Accipitrinae
GOSW,Golden Swallow,Tachycineta euchrysea,TACEUC,Passeriformes,Hirundinidae,Hirundininae
GOVI,Golden Vireo,Vireo hypochryseus,VIRHYP,Passeriformes,Vireonidae,
GBFL,Golden-bellied Flycatcher,Myiodynastes hemichrysus,MYIHEM,Passeriformes,Tyrannidae,Tyranninae
GBCH,Golden-browed Chlorophonia,Chlorophonia callophrys,CHLCAL,Passeriformes,Fringillidae,Euphoniinae
GBWA,Golden-browed Warbler,Basileuterus belli,BASBEL,Passeriformes,Parulidae,
GCWA,Golden-cheeked Warbler,Setophaga chrysoparia,SETCHR,Passeriformes,Parulidae,
GCHW,Golden-cheeked Woodpecker,Melanerpes chrysogenys,MELCHG,Piciformes,Picidae,Picinae
GCMA,Golden-collared Manakin,Manacus vitellinus,MANVIT,Passeriformes,Pipridae,
GCEM,Golden-crowned Emerald,Chlorostilbon auriceps,CHLAUR,Apodiformes,Trochilidae,Trochilinae
GOCF,Golden-crowned Flycatcher,Myiodynastes chrysocephalus,MYICHR,Passeriformes,Tyrannidae,Tyranninae
GCKI,Golden-crowned Kinglet,Regulus satrapa,REGSAT,Passeriformes,Regulidae,
GCRS,Golden-crowned Spadebill,Platyrinchus coronatus,PLACOR,Passeriformes,Tyrannidae,Platyrinchinae
GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla,ZONATR,Passeriformes,Emberizidae,
GCRW,Golden-crowned Warbler,Basileuterus culicivorus,BASCUL,Passeriformes,Parulidae,
GFGR,Golden-fronted Greenlet,Hylophilus aurantiifrons,HYLAUR,Passeriformes,Vireonidae,
GFWO,Golden-fronted Woodpecker,Melanerpes aurifrons,MELAUR,Piciformes,Picidae,Picinae
GGWO,Golden-green Woodpecker,Piculus chrysochloros,PICCHR,Piciformes,Picidae,Picinae
GHMA,Golden-headed Manakin,Pipra erythrocephala,PIPERC,Passeriformes,Pipridae,
GHQU,Golden-headed Quetzal,Pharomachrus auriceps,PHAAUC,Trogoniformes,Trogonidae,Trogoninae
GHOT,Golden-hooded Tanager,Tangara larvata,TANLAR,Passeriformes,Thraupidae,
GNWO,Golden-naped Woodpecker,Melanerpes chrysauchen,MELCHC,Piciformes,Picidae,Picinae
GOWO,Golden-olive Woodpecker,Colaptes rubiginosus,COLRUB,Piciformes,Picidae,Picinae
GWWA,Golden-winged Warbler,Vermivora chrysoptera,VERCHR,Passeriformes,Parulidae,
GRWA,Grace's Warbler,Setophaga graciae,SETGRA,Passeriformes,Parulidae,
GCAT,Grand Cayman Thrush,Turdus ravidus,TURRAV,Passeriformes,Turdidae,
GRSP,Grasshopper Sparrow,Ammodramus savannarum,AMMSAV,Passeriformes,Emberizidae,
GRYF,Grassland Yellow-Finch,Sicalis luteola,SICLUT,Passeriformes,Emberizidae,
GRBU,Gray Bunting,Emberiza variabilis,EMBVAR,Passeriformes,Emberizidae,
GRCA,Gray Catbird,Dumetella carolinensis,DUMCAR,Passeriformes,Mimidae,
GRAE,Gray Elaenia,Myiopagis caniceps,MYICAN,Passeriformes,Tyrannidae,Elaeniinae
GRFL,Gray Flycatcher,Empidonax wrightii,EMPWRI,Passeriformes,Tyrannidae,Fluvicolinae
GRAF,Gray Francolin,Francolinus pondicerianus,FRAPON,Galliformes,Phasianidae,Phasianinae
GRGU,Gray Gull,Leucophaeus modestus,LEUMOD,Charadriiformes,Laridae,Larinae
GRHA,Gray Hawk,Buteo plagiatus,BUTPLG,Accipitriformes,Accipitridae,Accipitrinae
GRAH,Gray Heron,Ardea cinerea,ARDCIN,Pelecaniformes,Ardeidae,
GRAJ,Gray Jay,Perisoreus canadensis,PERCAN,Passeriformes,Corvidae,
GRAK,Gray Kingbird,Tyrannus dominicensis,TYRDOM,Passeriformes,Tyrannidae,Tyranninae
GRNI,Gray Nightjar,Caprimulgus indicus,CAPIND,Caprimulgiformes,Caprimulgidae,Caprimulginae
GRAP,Gray Partridge,Perdix perdix,PERPER,Galliformes,Phasianidae,Phasianinae
GRSF,Gray Silky-flycatcher,Ptilogonys cinereus,PTICIN,Passeriformes,Ptilogonatidae,
GRAT,Gray Thrasher,Toxostoma cinereum,TOXCIN,Passeriformes,Mimidae,
GRTR,Gray Trembler,Cinclocerthia gutturalis,CINGUT,Passeriformes,Mimidae,
GRVI,Gray Vireo,Vireo vicinior,VIRVIC,Passeriformes,Vireonidae,
GRAW,Gray Wagtail,Motacilla cinerea,MOTCIN,Passeriformes,Motacillidae,
GAGT,Gray-and-gold Tanager,Tangara palmeri,TANPAL,Passeriformes,Thraupidae,
GBAT,Gray-backed Tern,Onychoprion lunatus,ONYLUN,Charadriiformes,Laridae,Sterninae
GBWR,Gray-barred Wren,Campylorhynchus megalopterus,CAMMEG,Passeriformes,Troglodytidae,
GBHA,Gray-bellied Hawk,Accipiter poliogaster,ACCPOL,Accipitriformes,Accipitridae,Accipitrinae
GBCR,Gray-breasted Crake,Laterallus exilis,LATEXI,Gruiformes,Rallidae,
GYBM,Gray-breasted Martin,Progne chalybea,PROCHA,Passeriformes,Hirundinidae,Hirundininae
GBWO,Gray-breasted Woodpecker,Melanerpes hypopolius,MELHYI,Piciformes,Picidae,Picinae
GBWW,Gray-breasted Wood-Wren,Henicorhina leucophrys,HENLEP,Passeriformes,Troglodytidae,
GCAF,Gray-capped Flycatcher,Myiozetetes granadensis,MYIGRA,Passeriformes,Tyrannidae,Tyranninae
GCNU,Gray-cheeked Nunlet,Nonnula frontalis,NONFRO,Piciformes,Bucconidae,
GCTH,Gray-cheeked Thrush,Catharus minimus,CATMIN,Passeriformes,Turdidae,
GCBT,Gray-cheeked/Bicknell's Thrush,Catharus minimus x bickn.,CATMIB,Passeriformes,Turdidae,
GCDO,Gray-chested Dove,Leptotila cassini,LEPCAS,Columbiformes,Columbidae,
GCBE,Gray-collared Becard,Pachyramphus major,PACMAJ,Passeriformes,Tityridae,
GCPT,Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus,PHAPOL,Passeriformes,Thraupidae,
GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,LEUTEP,Passeriformes,Fringillidae,Carduelinae
GYCW,Gray-crowned Woodpecker,Colaptes auricularis,COLAUC,Piciformes,Picidae,Picinae
GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,GEOPOL,Passeriformes,Parulidae,
GFQD,Gray-fronted Quail-Dove,Geotrygon caniceps,GEOCAN,Columbiformes,Columbidae,
GHEC,Gray-headed Chachalaca,Ortalis cinereiceps,ORTCIN,Galliformes,Cracidae,
GHCH,Gray-headed Chickadee,Poecile cinctus,POECIN,Passeriformes,Paridae,
GHDO,Gray-headed Dove,Leptotila plumbeiceps,LEPPLU,Columbiformes,Columbidae,
GHJU,Gray-headed Junco,Junco h. caniceps,JUNNCA,Passeriformes,Emberizidae,
GHKI,Gray-headed Kite,Leptodon cayanensis,LEPCAY,Accipitriformes,Accipitridae,Accipitrinae
GHPI,Gray-headed Piprites,Piprites griseiceps,PIPGRI,Passeriformes,Tyrannidae,
GHET,Gray-headed Tanager,Eucometis penicillata,EUCPEN,Passeriformes,Thraupidae,
GHGU,Gray-hooded Gull,Chroicocephalus cirrocephalus,CHRCIR,Charadriiformes,Laridae,Larinae
GRAS,Grayish Saltator,Saltator coerulescens,SALCOE,Passeriformes,,
GRGO,Graylag Goose,Anser anser,ANSANS,Anseriformes,Anatidae,Anserinae
GLHA,Gray-lined Hawk,Buteo nitidus,BUTNIT,Accipitriformes,Accipitridae,Accipitrinae
GNWR,Gray-necked Wood-Rail,Aramides cajaneus,ARACAJ,Gruiformes,Rallidae,
GRSW,Gray-rumped Swift,Chaetura cinereiventris,CHACIN,Apodiformes,Apodidae,Chaeturinae
GSFL,Gray-streaked Flycatcher,Muscicapa griseisticta,MUSGRI,Passeriformes,Muscicapidae,
GTTA,Gray-tailed Tattler,Tringa brevipes,TRIBRE,Charadriiformes,Scolopacidae,Scolopacinae
GTCH,Gray-throated Chat,Granatellus sallaei,GRASAL,Passeriformes,Cardinalidae,
GTLE,Gray-throated Leaftosser,Sclerurus albigularis,SCLALB,Passeriformes,Furnariidae,Sclerurinae
GANT,Great Antshrike,Taraba major,TARMAJ,Passeriformes,Thamnophilidae,
GRAU,Great Auk,Pinguinus impennis,PINIMP,Charadriiformes,Alcidae,
GBBG,Great Black-backed Gull,Larus marinus,LARMAR,Charadriiformes,Laridae,Larinae
GRBH,Great Black-Hawk,Buteogallus urubitinga,BUTURU,Accipitriformes,Accipitridae,Accipitrinae
GBHE,Great Blue Heron,Ardea herodias,ARDHER,Pelecaniformes,Ardeidae,
GRCO,Great Cormorant,Phalacrocorax carbo,PHACAR,Suliformes,Phalacrocoracidae,
GCFL,Great Crested Flycatcher,Myiarchus crinitus,MYICRI,Passeriformes,Tyrannidae,Tyranninae
GCTE,Great Crested Tern,Thalasseus bergii,THABER,Charadriiformes,Laridae,Sterninae
GRCU,Great Curassow,Crax rubra,CRARUB,Galliformes,Cracidae,
GREG,Great Egret,Ardea alba,ARDALB,Pelecaniformes,Ardeidae,
GREF,Great Frigatebird,Fregata minor,FREMIN,Suliformes,Fregatidae,
GGOW,Great Gray Owl,Strix nebulosa,STRNEB,Strigiformes,Strigidae,
GGMA,Great Green Macaw,Ara ambiguus,ARAAMB,Psittaciformes,Psittacidae,Arinae
GHOW,Great Horned Owl,Bubo virginianus,BUBVIR,Strigiformes,Strigidae,
GJAC,Great Jacamar,Jacamerops aureus,JACAUR,Piciformes,Galbulidae,
GKIS,Great Kiskadee,Pitangus sulphuratus,PITSUL,Passeriformes,Tyrannidae,Tyranninae
GRKN,Great Knot,Calidris tenuirostris,CALTEN,Charadriiformes,Scolopacidae,Scolopacinae
GRLC,Great Lizard-Cuckoo,Coccyzus merlini,COCMER,Cuculiformes,Cuculidae,Cuculinae
GRPO,Great Potoo,Nyctibius grandis,NYCGRA,Caprimulgiformes,Nyctibiidae,
GRSH,Great Shearwater,Puffinus gravis,PUFGRA,Procellariiformes,Procellariidae,
GRSK,Great Skua,Stercorarius skua,STESKU,Charadriiformes,Stercorariidae,
GSWO,Great Spotted Woodpecker,Dendrocopos major,DENMAJ,Piciformes,Picidae,Picinae
GSTS,Great Swallow-tailed Swift,Panyptila sanctihieronymi,PANSAN,Apodiformes,Apodidae,Apodinae
GRTI,Great Tinamou,Tinamus major,TINMAJ,Tinamiformes,Tinamidae,
GWHE,Great White Heron,Ardea h. occidentalis,ARDHOC,Pelecaniformes,Ardeidae,
GAKI,Greater Akialoa,Hemignathus ellisianus,HEMELL,Passeriformes,Fringillidae,Drepanidinae
GRAM,Greater Amakihi,Hemignathus sagittirostris,HEMSAG,Passeriformes,Fringillidae,Drepanidinae
GRTA,Greater Ani,Crotophaga major,CROMAJ,Cuculiformes,Cuculidae,Crotophaginae
GABU,Greater Antillean Bullfinch,Loxigilla violacea,LOXVIO,Passeriformes,Emberizidae,
GAEL,Greater Antillean Elaenia,Elaenia fallax,ELAFAL,Passeriformes,Tyrannidae,Elaeniinae
GAGR,Greater Antillean Grackle,Quiscalus niger,QUINIG,Passeriformes,Icteridae,
GANI,Greater Antillean Nightjar,Antrostomus cubanensis,ANTCUB,Caprimulgiformes,Caprimulgidae,Caprimulginae
GRKF,Greater Koa-Finch,Rhodacanthis palmeri,RHOPAL,Passeriformes,Fringillidae,Drepanidinae
GNLA,Greater Necklaced Laughingthrush,Garrulax pectoralis,GARPEC,Passeriformes,Timaliidae,
GRPE,Greater Pewee,Contopus pertinax,CONPER,Passeriformes,Tyrannidae,Fluvicolinae
GRPC,Greater Prairie-Chicken,Tympanuchus cupido,TYMCUP,Galliformes,Phasianidae,Tetraoninae
GRRO,Greater Roadrunner,Geococcyx californianus,GEOCAL,Cuculiformes,Cuculidae,Neomorphinae
GRSG,Greater Sage-Grouse,Centrocercus urophasianus,CENURO,Galliformes,Phasianidae,Tetraoninae
GSAP,Greater Sand-Plover,Charadrius leschenaultii,CHALES,Charadriiformes,Charadriidae,Charadriinae
GRSC,Greater Scaup,Aythya marila,AYTMAR,Anseriformes,Anatidae,Anatinae
GSGB,Greater Snow Goose Blue-morph,Chen c. atlantica,CHECAT,Anseriformes,Anatidae,Anserinae
GSGI,Greater Snow Goose Intermediate-morph,Chen c. atlantica,CHECAT,Anseriformes,Anatidae,Anserinae
GSGW,Greater Snow Goose White-morph,Chen c. atlantica,CHECAT,Anseriformes,Anatidae,Anserinae
GWFG,Greater White-fronted Goose,Anser albifrons,ANSALB,Anseriformes,Anatidae,Anserinae
GRYE,Greater Yellowlegs,Tringa melanoleuca,TRIMEL,Charadriiformes,Scolopacidae,Scolopacinae
GTGR,Great-tailed Grackle,Quiscalus mexicanus,QUIMEX,Passeriformes,Icteridae,
GWPE,Great-winged Petrel,Pterodroma macroptera,PTEMAC,Procellariiformes,Procellariidae,
GREH,Green Hermit,Phaethornis guy,PHAGUY,Apodiformes,Trochilidae,Phaethornithinae
GRHE,Green Heron,Butorides virescens,BUTVIR,Pelecaniformes,Ardeidae,
GRHO,Green Honeycreeper,Chlorophanes spiza,CHLSPI,Passeriformes,Thraupidae,
GRIB,Green Ibis,Mesembrinibis cayennensis,MESCAY,Pelecaniformes,Threskiornithidae,Threskiornithinae
GREJ,Green Jay,Cyanocorax yncas,CYAYNC,Passeriformes,Corvidae,
GKIN,Green Kingfisher,Chloroceryle americana,CHLAME,Coraciiformes,Alcedinidae,Cerylinae
GMAK,Green Manakin,Chloropipo holochlora,CHLHOL,Passeriformes,Pipridae,
GMAG,Green Mango,Anthracothorax viridis,ANTVIR,Apodiformes,Trochilidae,Trochilinae
GREP,Green Parakeet,Aratinga holochlora,ARAHOL,Psittaciformes,Psittacidae,Arinae
GRSA,Green Sandpiper,Tringa ochropus,TRIOCH,Charadriiformes,Scolopacidae,Scolopacinae
GRSV,Green Shrike-Vireo,Vireolanius pulchellus,VIRPUL,Passeriformes,Vireonidae,
GRET,Green Thorntail,Discosura conversii,DISCON,Apodiformes,Trochilidae,Trochilinae
GREV,Green Violetear,Colibri thalassinus,COLTHA,Apodiformes,Trochilidae,Trochilinae
GARK,Green-and-rufous Kingfisher,Chloroceryle inda,CHLIND,Coraciiformes,Alcedinidae,Cerylinae
GBSP,Green-backed Sparrow,Arremonops chloronotus,ARRCHL,Passeriformes,Emberizidae,
GNBM,Green-breasted Mango,Anthracothorax prevostii,ANTPRE,Apodiformes,Trochilidae,Trochilinae
GBMG,Green-breasted Mountain-gem,Lampornis sybillae,LAMSYB,Apodiformes,Trochilidae,Trochilinae
GCBR,Green-crowned Brilliant,Heliodoxa jacula,HELJAC,Apodiformes,Trochilidae,Trochilinae
GNCW,Green-crowned Woodnymph,Thalurania fannyi,THAFAN,Apodiformes,Trochilidae,Trochilinae
GFHU,Green-fronted Hummingbird,Amazilia viridifrons,AMAVIF,Apodiformes,Trochilidae,Trochilinae
GFRL,Green-fronted Lancebill,Doryfera ludovicae,DORLUD,Apodiformes,Trochilidae,Trochilinae
GREL,Greenish Elaenia,Myiopagis viridicata,MYIVIR,Passeriformes,Tyrannidae,Elaeniinae
GRPU,Greenish Puffleg,Haplophaedia aureliae,HAPAUR,Apodiformes,Trochilidae,Trochilinae
GNTA,Green-naped Tanager,Tangara fucosa,TANFUC,Passeriformes,Thraupidae,
GRUP,Green-rumped Parrotlet,Forpus passerinus,FORPAS,Psittaciformes,Psittacidae,Arinae
GSBF,Green-striped Brush-Finch,Arremon virenticeps,ARRVIR,Passeriformes,Emberizidae,
GTTO,Green-tailed Towhee,Pipilo chlorurus,PIPCHL,Passeriformes,Emberizidae,
GTWA,Green-tailed Warbler,Microligea palustris,MICPAL,Passeriformes,Parulidae,
GTCA,Green-throated Carib,Eulampis holosericeus,EULHOL,Apodiformes,Trochilidae,Trochilinae
GTMG,Green-throated Mountain-gem,Lampornis viridipallens,LAMVIR,Apodiformes,Trochilidae,Trochilinae
GWTE,Green-winged Teal,Anas crecca,ANACRE,Anseriformes,Anatidae,Anatinae
GRDO,Grenada Dove,Leptotila wellsi,LEPWEL,Columbiformes,Columbidae,
GFLY,Grenada Flycatcher,Myiarchus nugator,MYINUG,Passeriformes,Tyrannidae,Tyranninae
GBAN,Groove-billed Ani,Crotophaga sulcirostris,CROSUL,Cuculiformes,Cuculidae,Crotophaginae
GUCA,Guadalupe Caracara,Caracara lutosa,CARLUT,Falconiformes,Falconidae,Caracarinae
GAMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,SYNHYP,Charadriiformes,Alcidae,
GUSP,Guadalupe Storm-Petrel,Oceanodroma macrodactyla,OCEMAC,Procellariiformes,Hydrobatidae,
GUWO,Guadeloupe Woodpecker,Melanerpes herminieri,MELHER,Piciformes,Picidae,Picinae
GBTE,Gull-billed Tern,Gelochelidon nilotica,GELNIL,Charadriiformes,Laridae,Sterninae
GUHA,Gundlach's Hawk,Accipiter gundlachi,ACCGUN,Accipitriformes,Accipitridae,Accipitrinae
GUSG,Gunnison Sage-Grouse,Centrocercus minimus,CENMIN,Galliformes,Phasianidae,Tetraoninae
GYRF,Gyrfalcon,Falco rusticolus,FALRUS,Falconiformes,Falconidae,Falconinae
HAWO,Hairy Woodpecker,Picoides villosus,PICVIL,Piciformes,Picidae,Picinae
HAFL,Hammond's Flycatcher,Empidonax hammondii,EMPHAM,Passeriformes,Tyrannidae,Fluvicolinae
HDFL,Hammond's/Dusky Flycatcher,Empidonax hammondii/oberho.,EMPHAO,Passeriformes,Tyrannidae,Fluvicolinae
HAWR,Happy Wren,Pheugopedius felix,PHEFEL,Passeriformes,Troglodytidae,
HALH,Harlan's Hawk,Buteo j. harlani,BUTJHA,Accipitriformes,Accipitridae,
HADU,Harlequin Duck,Histrionicus histrionicus,HISHIS,Anseriformes,Anatidae,Anatinae
HAEA,Harpy Eagle,Harpia harpyja,HARHAR,Accipitriformes,Accipitridae,Accipitrinae
HASH,Harris's Hawk,Parabuteo unicinctus,PARUNI,Accipitriformes,Accipitridae,Accipitrinae
HASP,Harris's Sparrow,Zonotrichia querula,ZONQUE,Passeriformes,Emberizidae,
HAAM,Hawaii Amakihi,Hemignathus virens,HEMVIR,Passeriformes,Fringillidae,Drepanidinae
HCRE,Hawaii Creeper,Oreomystis mana,OREMAN,Passeriformes,Fringillidae,Drepanidinae
HAEL,Hawaii Elepaio,Chasiempis sandwichensis,CHASAN,Passeriformes,Monarchidae,
HAMA,Hawaii Mamo,Drepanis pacifica,DREPAC,Passeriformes,Fringillidae,Drepanidinae
HAOO,Hawaii Oo,Moho nobilis,MOHNOB,Passeriformes,Mohoidae,
HACO,Hawaiian Coot,Fulica alai,FULALA,Gruiformes,Rallidae,
HCRO,Hawaiian Crow,Corvus hawaiiensis,CORHAW,Passeriformes,Corvidae,
HAWD,Hawaiian Duck,Anas wyvilliana,ANAWYV,Anseriformes,Anatidae,Anatinae
HAGA,Hawaiian Gallinule,Gallinula g. sandvicensis,GALGSA,Gruiformes,Rallidae,
HAGO,Hawaiian Goose,Branta sandvicensis,BRASAN,Anseriformes,Anatidae,Anserinae
HAWH,Hawaiian Hawk,Buteo solitarius,BUESOL,Accipitriformes,Accipitridae,Accipitrinae
HAPE,Hawaiian Petrel,Pterodroma sandwichensis,PTESAN,Procellariiformes,Procellariidae,
HARA,Hawaiian Rail,Porzana sandwichensis,PORSAN,Gruiformes,Rallidae,
HAST,Hawaiian Stilt,Himantopus m. melanurus,HIMMME,Charadriiformes,Recurvirostridae,
HAWF,Hawfinch,Coccothraustes coccothraustes,COCCOT,Passeriformes,Fringillidae,Carduelinae
HEEG,Heermann's Gull,Larus heermanni,LARHEE,Charadriiformes,Laridae,Larinae
HELG,Helmeted Guineafowl,Numida meleagris,NUMMEL,Galliformes,Numididae,
HESP,Henslow's Sparrow,Ammodramus henslowii,AMMHEN,Passeriformes,Emberizidae,
HETA,Hepatic Tanager,Piranga flava,PIRFLA,Passeriformes,Cardinalidae,
HEPE,Herald Petrel,Pterodroma arminjoniana,PTEARM,Procellariiformes,Procellariidae,
HETH,Hermit Thrush,Catharus guttatus,CATGUT,Passeriformes,Turdidae,
HEWA,Hermit Warbler,Setophaga occidentalis,SETOCC,Passeriformes,Parulidae,
HERG,Herring Gull,Larus argentatus,LARARG,Charadriiformes,Laridae,Larinae
HIGU,Highland Guan,Penelopina nigra,PENNIG,Galliformes,Cracidae,
HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON,Tinamiformes,Tinamidae,
HIMY,Hill Myna,Gracula religiosa,GRAREL,Passeriformes,Sturnidae,
HISN,Himalayan Snowcock,Tetraogallus himalayensis,TETHIM,Galliformes,Phasianidae,Phasianinae
HICR,Hispaniolan Crossbill,Loxia megaplaga,LOXMEG,Passeriformes,Fringillidae,Carduelinae
HIEM,Hispaniolan Emerald,Chlorostilbon swainsonii,CHLSWA,Apodiformes,Trochilidae,Trochilinae
HILC,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris,COCLON,Cuculiformes,Cuculidae,Cuculinae
HIOR,Hispaniolan Oriole,Icterus dominicensis,ICTDOM,Passeriformes,Icteridae,
HPAK,Hispaniolan Parakeet,Aratinga chloroptera,ARACHA,Psittaciformes,Psittacidae,Arinae
HPAT,Hispaniolan Parrot,Amazona ventralis,AMAVEN,Psittaciformes,Psittacidae,Arinae
HIPE,Hispaniolan Pewee,Contopus hispaniolensis,CONHIS,Passeriformes,Tyrannidae,Fluvicolinae
HISP,Hispaniolan Spindalis,Spindalis dominicensis,SPDDOM,Passeriformes,Thraupidae,
HITR,Hispaniolan Trogon,Priotelus roseigaster,PRIROS,Trogoniformes,Trogonidae,Trogoninae
HIWO,Hispaniolan Woodpecker,Melanerpes striatus,MELSTR,Piciformes,Picidae,Picinae
HORE,Hoary Redpoll,Acanthis hornemanni,ACAHOR,Passeriformes,Fringillidae,Carduelinae
HOWO,Hoffmann's Woodpecker,Melanerpes hoffmannii,MELHOF,Piciformes,Picidae,Picinae
HOEM,Honduran Emerald,Amazilia luciae,AMALUC,Apodiformes,Trochilidae,Trochilinae
HOOG,Hooded Grosbeak,Coccothraustes abeillei,COCABE,Passeriformes,Fringillidae,Carduelinae
HOME,Hooded Merganser,Lophodytes cucullatus,LOPCUC,Anseriformes,Anatidae,Anatinae
HOOR,Hooded Oriole,Icterus cucullatus,ICTCUC,Passeriformes,Icteridae,
HOWA,Hooded Warbler,Setophaga citrina,SETCIT,Passeriformes,Parulidae,
HOYE,Hooded Yellowthroat,Geothlypis nelsoni,GEONEL,Passeriformes,Parulidae,
HBKI,Hook-billed Kite,Chondrohierax uncinatus,CHOUNC,Accipitriformes,Accipitridae,Accipitrinae
HOGR,Horned Grebe,Podiceps auritus,PODAUR,Podicipediformes,Podicipedidae,
HOGU,Horned Guan,Oreophasis derbianus,OREDER,Galliformes,Cracidae,
HOLA,Horned Lark,Eremophila alpestris,EREALP,Passeriformes,Alaudidae,
HOPU,Horned Puffin,Fratercula corniculata,FRACOR,Charadriiformes,Alcidae,
HOFI,House Finch,Haemorhous mexicanus,HAEMEX,Passeriformes,Fringillidae,Carduelinae
HOSP,House Sparrow,Passer domesticus,PASDOM,Passeriformes,Passeridae,
HOWR,House Wren,Troglodytes aedon,TROAED,Passeriformes,Troglodytidae,
HUGO,Hudsonian Godwit,Limosa haemastica,LIMHAE,Charadriiformes,Scolopacidae,Scolopacinae
HUSA,Humboldt's Sapphire,Hylocharis humboldtii,HYLHUM,Apodiformes,Trochilidae,Trochilinae
HUVI,Hutton's Vireo,Vireo huttoni,VIRHUT,Passeriformes,Vireonidae,
HWAM,Hwamei,Garrulax canorus,GARCAN,Passeriformes,Timaliidae,
ICGU,Iceland Gull,Larus glaucoides,LARGLD,Charadriiformes,Laridae,Larinae
IIWI,Iiwi,Vestiaria coccinea,VESCOC,Passeriformes,Fringillidae,Drepanidinae
IMAN,Immaculate Antbird,Myrmeciza immaculata,MYRIMM,Passeriformes,Thamnophilidae,
IMPA,Imperial Parrot,Amazona imperialis,AMAIMP,Psittaciformes,Psittacidae,Arinae
IMWO,Imperial Woodpecker,Campephilus imperialis,CAMIMP,Piciformes,Picidae,Picinae
INDO,Inca Dove,Columbina inca,COLINC,Columbiformes,Columbidae,
INTE,Inca Tern,Larosterna inca,LARINC,Charadriiformes,Laridae,Sterninae
INPE,Indian Peafowl,Pavo cristatus,PAVCRI,Galliformes,Phasianidae,Phasianinae
INSI,Indian Silverbill,Lonchura malabarica,LONMAB,Passeriformes,Estrildidae,
INBU,Indigo Bunting,Passerina cyanea,PASCYA,Passeriformes,Cardinalidae,
INEG,Intermediate Egret,Mesophoyx intermedia,MESINT,Pelecaniformes,Ardeidae,
IPSP,Ipswich Sparrow,Passerculus s. princeps,PASSPR,Passeriformes,Emberizidae,
ISCA,Island Canary,Serinus canaria,SERCAN,Passeriformes,Fringillidae,Carduelinae
ISSJ,Island Scrub-Jay,Aphelocoma insularis,APHINS,Passeriformes,Corvidae,
IVGU,Ivory Gull,Pagophila eburnea,PAGEBU,Charadriiformes,Laridae,Larinae
IBIW,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,XIPFLA,Passeriformes,Furnariidae,Dendrocolaptinae
IBWO,Ivory-billed Woodpecker,Campephilus principalis,CAMPRI,Piciformes,Picidae,Picinae
JABI,Jabiru,Jabiru mycteria,JABMYC,Ciconiiformes,Ciconiidae,
JASN,Jack Snipe,Lymnocryptes minimus,LYMMIN,Charadriiformes,Scolopacidae,Scolopacinae
JABE,Jamaican Becard,Pachyramphus niger,PACNIG,Passeriformes,Tityridae,
JABL,Jamaican Blackbird,Nesopsar nigerrimus,NESNIG,Passeriformes,Icteridae,
JACR,Jamaican Crow,Corvus jamaicensis,CORJAM,Passeriformes,Corvidae,
JAEL,Jamaican Elaenia,Myiopagis cotta,MYICOT,Passeriformes,Tyrannidae,Elaeniinae
JAEU,Jamaican Euphonia,Euphonia jamaica,EUPJAM,Passeriformes,Fringillidae,Euphoniinae
JALC,Jamaican Lizard-Cuckoo,Coccyzus vetula,COCVET,Cuculiformes,Cuculidae,Cuculinae
JAMA,Jamaican Mango,Anthracothorax mango,ANTMAN,Apodiformes,Trochilidae,Trochilinae
JAOR,Jamaican Oriole,Icterus leucopteryx,ICTLEU,Passeriformes,Icteridae,
JAOW,Jamaican Owl,Pseudoscops grammicus,PSEGRA,Strigiformes,Strigidae,
JAPA,Jamaican Pauraque,Siphonorhis americana,SIPAME,Caprimulgiformes,Caprimulgidae,Caprimulginae
JAPE,Jamaican Pewee,Contopus pallidus,CONPAL,Passeriformes,Tyrannidae,Fluvicolinae
JAMS,Jamaican Spindalis,Spindalis nigricephala,SPINIG,Passeriformes,Thraupidae,
JATO,Jamaican Tody,Todus todus,TODTOD,Coraciiformes,Todidae,
JAVI,Jamaican Vireo,Vireo modestus,VIRMOD,Passeriformes,Vireonidae,
JAWO,Jamaican Woodpecker,Melanerpes radiolatus,MELRAD,Piciformes,Picidae,Picinae
JABW,Japanese Bush-Warbler,Cettia diphone,CETDIP,Passeriformes,Cettiidae,
JAQU,Japanese Quail,Coturnix japonica,COTJAP,Galliformes,Phasianidae,Phasianinae
JAWE,Japanese White-eye,Zosterops japonicus,ZOSJAP,Passeriformes,Zosteropidae,
